,Unnamed: 0,Unnamed: 1,Unnamed: 2,TL,Anterior (temporal pole),Lateral Temporal,"STG (includes Transverse Temporal Gyrus, Both Planum)","Transverse Temporal Gyrus (Heschl's, BA 41,  42, ?opercula)",Planum Temporale,Planum Polare,MTG,ITG,Mesial Temporal,Ant Mesial Temporal,Post Mesial Temporal,Enthorinal Cortex,Fusiform,AMYGD,PARAHIPPOCAMPUS,HIPPOCAMPUS,Posterior Temporal,Basal (including Fusiform OTMG),OTMG (fusiform),Unnamed: 23,Unnamed: 24
0, Right Amygdala,32.0,,32.0,,,,,,,,,32.0,32.0,,,,32.0,,,,,,,
1, Left Amygdala,33.0,,33.0,,,,,,,,,33.0,33.0,,,,33.0,,,,,,,
2, Right Hippocampus,48.0,,48.0,,,,,,,,,48.0,,48.0,,,,,48.0,,,,,
3, Left Hippocampus,49.0,,49.0,,,,,,,,,49.0,,49.0,,,,,49.0,,,,,
4, Right Ent entorhinal area,117.0,,117.0,,,,,,,,,117.0,117.0,,117.0,,,,,,,,,
5, Left Ent entorhinal area,118.0,,118.0,,,,,,,,,118.0,118.0,,118.0,,,,,,,,,
6, Right FuG fusiform gyrus,123.0,,123.0,,,,,,,,,,,123.0,,123.0,,,,123.0,123.0,123.0,,
7, Left FuG fusiform gyrus,124.0,,124.0,,,,,,,,,,,124.0,,124.0,,,,124.0,124.0,124.0,,
8, Right ITG inferior temporal gyrus,133.0,,133.0,,133.0,,,,,,133.0,,,,,,,,,133.0,133.0,,,
9, Left ITG inferior temporal gyrus,134.0,,134.0,,134.0,,,,,,134.0,,,,,,,,,134.0,134.0,,,
10, Right MTG middle temporal gyrus,155.0,,155.0,,155.0,,,,,155.0,,,,,,,,,,155.0,,,,
11, Left MTG middle temporal gyrus,156.0,,156.0,,156.0,,,,,156.0,,,,,,,,,,156.0,,,,
12, Right PHG parahippocampal gyrus,171.0,,171.0,,,,,,,,,171.0,,171.0,,,,171.0,,,171.0,,,
13, Left PHG parahippocampal gyrus,172.0,,172.0,,,,,,,,,172.0,,172.0,,,,172.0,,,172.0,,,
14, Right PP planum polare,181.0,,181.0,,181.0,181.0,,,181.0,,,,,,,,,,,,,,,
15, Left PP planum polare,182.0,,182.0,,182.0,182.0,,,182.0,,,,,,,,,,,,,,,
16, Right PT planum temporale,185.0,,185.0,,185.0,185.0,,185.0,,,,,,,,,,,,185.0,,,,
17, Left PT planum temporale,186.0,,186.0,,186.0,186.0,,186.0,,,,,,,,,,,,186.0,,,,
18, Right STG superior temporal gyrus,201.0,,201.0,,201.0,201.0,,,,,,,,,,,,,,201.0,,,,
19, Left STG superior temporal gyrus,202.0,,202.0,,202.0,202.0,,,,,,,,,,,,,,202.0,,,,
20, Right TMP temporal pole,203.0,,203.0,203.0,,,,,,,,,,,,,,,,,,,,
21, Left TMP temporal pole,204.0,,204.0,204.0,,,,,,,,,,,,,,,,,,,,
22, Right TTG transverse temporal gyrus,207.0,,207.0,,207.0,207.0,207.0,,,,,,,,,,,,,,,,,
23, Left TTG transverse temporal gyrus,208.0,,208.0,,208.0,208.0,208.0,,,,,,,,,,,,,,,,,
24, Right OFuG occipital fusiform gyrus,161.0,,,,,,,,,,,,,,,161.0,,,,,161.0,161.0,,
25, Left OFuG occipital fusiform gyrus,162.0,,,,,,,,,,,,,,,162.0,,,,,162.0,162.0,,
26,,,,,,,,,,,,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,,,,,,,,,,,,
31,,,,,,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,,,,,,
33,,,,,,,,,,,,,,,,,,,,,,,,,
34,,,,,,,,,,,,,,,,,,,,,,,,,
35,,,,,,,,,,,,,,,,,,,,,,,,,
36,,,,,,,,,,,,,,,,,,,,,,,,,
37,,,,,,,,,,,,,,,,,,,,,,,,,
38,,,,,,,,,,,,,,,,,,,,,,,,,
39,,,,,,,,,,,,,,,,,,,,,,,,,
