,Frontal Lobe,Cingulate,Parietal Lobe,Occipital Lobe,Insula,Hypothalamus,Anterior Temporal,Lateral Temporal,Mesial Temporal,Posterior Temporal,Basal Temporal
Frontal Lobe,1.0,0.6453009766017886,0.4920058388618097,0.4538104281593562,0.4280688126792816,0.09589323422763579,0.41960158145074045,0.32050600047785555,0.44998248453910356,0.38740716803276315,0.37131372437223287
Cingulate,0.6453009766017886,1.0,0.37962258532028864,0.34539961576564315,0.46830995566383105,-0.2621415281206321,0.5246857488032421,0.4780576709552279,0.5599145929823582,0.3087434797505681,0.5294061156842602
Parietal Lobe,0.4920058388618097,0.37962258532028864,1.0,0.7454024056606212,0.3576462411377206,0.15303998258343338,0.4047448657863348,0.4468719708173522,0.4613126618646682,0.35081802780125626,0.02938718637160062
Occipital Lobe,0.4538104281593562,0.34539961576564315,0.7454024056606212,1.0,0.1927554870824382,0.2748199910648305,0.5594398872955321,0.5357929158603395,0.635774414945148,0.46433577765821327,0.3068182382766963
Insula,0.4280688126792816,0.46830995566383105,0.3576462411377206,0.1927554870824382,1.0,-0.2013338424637915,0.45129646381264543,0.4433538159085822,0.4374957976619885,0.05732043866354888,0.29516399264805415
Hypothalamus,0.09589323422763579,-0.2621415281206321,0.15303998258343338,0.2748199910648305,-0.2013338424637915,1.0,-0.13947860960848307,-0.040398408101611744,-0.14178054461753106,0.24882979260908963,-0.0613345395107155
Anterior Temporal,0.41960158145074045,0.5246857488032421,0.4047448657863348,0.5594398872955321,0.45129646381264543,-0.13947860960848307,1.0,0.8021364195773782,0.9788177143608374,0.6156855854453857,0.6024367862922894
Lateral Temporal,0.32050600047785555,0.4780576709552279,0.4468719708173522,0.5357929158603395,0.4433538159085822,-0.040398408101611744,0.8021364195773782,1.0,0.8529115153694345,0.5883285485588575,0.4369135533008182
Mesial Temporal,0.44998248453910356,0.5599145929823582,0.4613126618646682,0.635774414945148,0.4374957976619885,-0.14178054461753106,0.9788177143608374,0.8529115153694345,1.0,0.6182071480405988,0.5997123241285693
Posterior Temporal,0.38740716803276315,0.3087434797505681,0.35081802780125626,0.46433577765821327,0.05732043866354888,0.24882979260908963,0.6156855854453857,0.5883285485588575,0.6182071480405988,1.0,0.4183689161369595
Basal Temporal,0.37131372437223287,0.5294061156842602,0.02938718637160062,0.3068182382766963,0.29516399264805415,-0.0613345395107155,0.6024367862922894,0.4369135533008182,0.5997123241285693,0.4183689161369595,1.0
